,index,Country,Total records
0,0,USA,25
1,12,KEN,18
2,5,ETH,12
3,4,RUS,9
4,30,URS,6
5,3,JAM,5
6,2,GDR,5
7,8,CHN,4
8,9,UGA,4
9,14,MAR,4
10,12,SWE,4
11,6,NED,3
12,29,FRA,3
13,13,GBR,3
14,24,JPN,3
15,3,TCH,3
16,31,VEN,2
17,0,CAN,2
18,21,CUB,2
19,35,CZE,2
20,5,DJI,1
21,32,ITA,1
22,18,QAT,1
23,2,NAM,1
24,30,MEX,1
25,4,DEN,1
26,20,NOR,1
27,5,SLO,1
28,2,RSA,1
29,19,ROU,1
30,18,UKR,1
31,6,MOZ,1
32,37,LTU,1
33,34,POL,1
34,28,BUL,1
35,17,BRN,1
36,7,BDI,1
37,15,BUR,1
