Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-01,10337,monthly,169841,352528,210722,163445,153883,01/01/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-02,10786,monthly,170502,347520,209278,164721,154884,01/02/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-03,13747,monthly,172749,351801,211962,166555,157187,01/03/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-04,14025,monthly,178218,359916,217092,170602,163549,01/04/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-05,17735,monthly,182805,367527,223779,175772,166997,01/05/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-06,14368,monthly,186038,369726,224529,178283,171396,01/06/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-07,18061,monthly,191162,389899,233908,184737,173793,01/07/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-08,17567,monthly,195333,394662,239197,189142,177432,01/08/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-09,15091,monthly,197045,399194,242636,190416,178855,01/09/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-10,14509,monthly,199092,404694,246998,192683,179988,01/10/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-11,14324,monthly,202527,412507,248842,195211,184228,01/11/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-12,13443,monthly,203437,407963,252359,196414,184471,01/12/2002
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-01,11365,monthly,207162,419137,254641,202041,186926,01/01/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-02,10320,monthly,206464,414982,256602,200114,186523,01/02/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-03,10600,monthly,205573,415288,255085,199740,185407,01/03/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-04,10380,monthly,207953,415921,258067,201120,188347,01/04/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-05,11169,monthly,210583,418968,261553,205740,189359,01/05/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-06,11990,monthly,208941,417655,259215,202891,188717,01/06/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-07,13468,monthly,213806,426441,266051,208794,192154,01/07/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-08,14417,monthly,212692,423770,264469,208159,190918,01/08/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-09,14741,monthly,212901,428779,266092,208553,190449,01/09/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-10,15741,monthly,214608,427660,267387,210387,192263,01/10/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-11,14754,monthly,215556,425184,267314,211536,193463,01/11/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-12,14839,monthly,216971,420852,267879,211690,196159,01/12/2003
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-01,12767,monthly,218855,434342,271332,214541,196490,01/01/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-02,12160,monthly,219804,434984,273084,216428,196693,01/02/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-03,14409,monthly,221324,432135,271383,217492,199326,01/03/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-04,14873,monthly,225863,435578,278620,223420,202365,01/04/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-05,13613,monthly,227330,430197,279298,224193,204628,01/05/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-06,16163,monthly,230156,438283,281838,225947,207895,01/06/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-07,17612,monthly,233877,447529,288388,231683,209501,01/07/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-08,15020,monthly,234836,452951,288655,232422,210563,01/08/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-09,13500,monthly,234134,451595,288161,231902,209748,01/09/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-10,12031,monthly,232287,448530,286511,230059,207943,01/10/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-11,10790,monthly,234718,449256,287896,231718,211065,01/11/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-12,10859,monthly,230185,441332,282435,227556,206756,01/12/2004
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-01,8020,monthly,232422,448212,284417,230578,208376,01/01/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-02,7829,monthly,231321,442730,283523,229239,207548,01/02/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-03,9361,monthly,231263,440100,282278,229777,207511,01/03/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-04,10290,monthly,235367,443176,286920,234290,211199,01/04/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-05,10649,monthly,235685,447963,288344,233940,211479,01/05/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-06,12308,monthly,235899,443028,287519,235917,211100,01/06/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-07,13536,monthly,237872,449202,290947,237279,212892,01/07/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-08,13208,monthly,237971,449857,288600,237217,213620,01/08/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-09,13541,monthly,236916,451638,290297,237361,211176,01/09/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-10,12382,monthly,234298,442924,286183,234167,209507,01/10/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-11,12568,monthly,236561,445427,288242,236536,211694,01/11/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-12,13144,monthly,238377,438936,285358,237127,215567,01/12/2005
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-01,10862,monthly,239846,454025,291590,240015,214584,01/01/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-02,10885,monthly,239115,448642,289915,238395,214773,01/02/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-03,13982,monthly,241380,454096,292056,241348,216507,01/03/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-04,11953,monthly,245474,455431,296200,245745,220453,01/04/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-05,13349,monthly,247591,460366,297797,247011,223018,01/05/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-06,16075,monthly,251417,465913,301279,251705,226295,01/06/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-07,16182,monthly,253883,473171,306203,255910,226972,01/07/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-08,16833,monthly,256704,478540,308896,257927,230115,01/08/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-09,15674,monthly,257541,483177,310130,257836,231214,01/09/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-10,15193,monthly,259115,483203,311206,259231,233036,01/10/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-11,15230,monthly,258814,484883,312651,260129,231582,01/11/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-12,15232,monthly,264494,491261,316458,264717,238180,01/12/2006
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-01,12794,monthly,267658,496475,319628,268351,240937,01/01/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-02,12194,monthly,270780,501729,322708,269149,245120,01/02/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-03,14546,monthly,273479,506544,325473,274191,246442,01/03/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-04,12568,monthly,278805,512600,330825,280670,251019,01/04/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-05,14059,monthly,282726,515304,334101,282458,256149,01/05/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-06,15799,monthly,285958,524980,337493,285874,258918,01/06/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-07,16037,monthly,295694,547759,350983,296015,266890,01/07/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-08,16824,monthly,297653,546248,350162,298971,269035,01/08/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-09,13748,monthly,298414,552891,351709,297548,270506,01/09/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-10,13890,monthly,298559,555873,351538,297591,270658,01/10/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-11,13174,monthly,297648,560486,354894,296952,268479,01/11/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-12,9938,monthly,297994,551709,352333,296305,270329,01/12/2007
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-01,8541,monthly,298596,562436,354015,298254,269578,01/01/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-02,8773,monthly,295700,552961,351217,294639,267322,01/02/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-03,8002,monthly,293605,547952,349568,294811,264226,01/03/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-04,8074,monthly,294346,557690,349515,294697,265191,01/04/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-05,8075,monthly,295163,550050,350758,295286,266306,01/05/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-06,7540,monthly,290100,542550,344894,291896,260848,01/06/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-07,6935,monthly,290261,546197,343508,288804,262734,01/07/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-08,5982,monthly,281721,532326,335791,281308,253968,01/08/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-09,5191,monthly,276487,524235,326819,274565,250460,01/09/2008
