,Area,Year,Value,pct_ch,log_value,logpct_ch
2911,Wandsworth,2011,390000,2.6315789473684292,12.873902018105829,0.20217648613700678
3091,Wandsworth,2012,415750,6.602564102564101,12.937839397055175,0.49664335536672155
3271,Wandsworth,2013,465000,11.846061334936863,13.049792684569493,0.8653167200375123
3451,Wandsworth,2014,532250,14.462365591397841,13.184868582755726,1.0350807974593534
3631,Wandsworth,2015,560000,5.213715359323623,13.235692062711331,0.38546823304765887
3811,Wandsworth,2016,644000,14.999999999999991,13.37545400508649,1.0559473710400669
3991,Wandsworth,2017,654000,1.552795031055898,13.390862630439337,0.11520076512532285
2192,Westminster,2007,475000,,13.071070083016778,
2372,Westminster,2008,495000,4.210526315789465,13.112313041550827,0.31552855483221176
2552,Westminster,2009,499999,1.009898989898983,13.12236137740233,0.07663282457992526
2732,Westminster,2010,580000,16.00023200046401,13.270783382522602,1.1310617110108279
2912,Westminster,2011,600000,3.4482758620689724,13.304684934198283,0.2554600636487603
3092,Westminster,2012,635000,5.833333333333335,13.36138027787483,0.4261306746980331
3272,Westminster,2013,725000,14.173228346456689,13.493926933836812,0.9920131992760428
3452,Westminster,2014,875000,20.68965517241379,13.681979165339751,1.393606415871318
3632,Westminster,2015,890000,1.7142857142857126,13.698976741708323,0.12423331568602869
3812,Westminster,2016,1024500,15.112359550561806,13.839715246661092,1.0273650916149846
3992,Westminster,2017,1025000,0.048804294777937685,13.840203170554645,0.0035255341952922237
