,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
351,Hackney,Theft and Handling,133,110,132,165,183,161,228,195,206,183,213,171
352,Hackney,Theft and Handling,98,87,80,67,69,76,78,73,51,66,84,62
353,Hackney,Theft and Handling,89,75,59,62,75,74,82,79,105,89,79,50
354,Hackney,Theft and Handling,106,93,69,104,164,154,177,191,149,191,167,123
355,Hackney,Violence Against the Person,136,158,148,144,155,156,170,161,146,136,179,151
356,Hackney,Violence Against the Person,212,205,234,196,255,241,234,210,208,236,236,242
357,Hackney,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
358,Hackney,Violence Against the Person,214,222,257,266,286,285,304,237,266,287,265,288
359,Hackney,Violence Against the Person,2,0,2,2,0,0,0,0,1,0,1,0
360,Hackney,Violence Against the Person,28,16,26,25,29,29,16,19,20,26,29,17
361,Hackney,Violence Against the Person,50,30,36,43,37,31,46,22,24,37,32,49
362,Hackney,Violence Against the Person,83,60,86,73,102,61,74,85,84,94,101,88
363,Hammersmith and Fulham,Burglary,116,90,98,118,161,118,118,117,108,115,117,104
364,Hammersmith and Fulham,Burglary,82,74,81,80,67,65,74,73,89,72,74,76
365,Hammersmith and Fulham,Criminal Damage,25,26,33,22,23,29,30,17,24,25,23,29
366,Hammersmith and Fulham,Criminal Damage,38,43,32,33,35,36,29,28,49,37,35,33
367,Hammersmith and Fulham,Criminal Damage,8,10,15,12,13,13,15,9,9,11,8,1
368,Hammersmith and Fulham,Criminal Damage,39,26,32,32,32,43,35,32,36,33,38,28
369,Hammersmith and Fulham,Drugs,7,1,4,4,1,5,0,3,1,3,59,1
370,Hammersmith and Fulham,Drugs,0,1,0,0,1,0,0,0,2,1,0,4
371,Hammersmith and Fulham,Drugs,90,84,43,72,74,51,75,65,57,94,62,69
372,Hammersmith and Fulham,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
373,Hammersmith and Fulham,Fraud or Forgery,4,2,7,4,4,0,3,2,2,2,7,2
374,Hammersmith and Fulham,Other Notifiable Offences,9,5,8,0,1,1,2,2,5,3,0,1
375,Hammersmith and Fulham,Other Notifiable Offences,28,32,38,30,28,32,43,34,18,34,31,34
376,Hammersmith and Fulham,Robbery,1,6,4,2,9,7,5,4,8,4,5,4
377,Hammersmith and Fulham,Robbery,44,49,46,50,69,74,95,58,52,50,72,57
378,Hammersmith and Fulham,Sexual Offences,20,25,23,14,21,25,31,29,22,20,24,28
379,Hammersmith and Fulham,Sexual Offences,15,16,24,13,18,27,15,35,23,38,37,28
380,Hammersmith and Fulham,Theft and Handling,4,6,4,4,7,4,3,2,1,3,0,0
381,Hammersmith and Fulham,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
382,Hammersmith and Fulham,Theft and Handling,267,238,256,250,252,240,256,242,298,262,282,310
383,Hammersmith and Fulham,Theft and Handling,66,79,67,55,67,47,64,42,56,51,83,61
384,Hammersmith and Fulham,Theft and Handling,160,227,146,134,146,156,150,116,177,150,145,150
385,Hammersmith and Fulham,Theft and Handling,141,113,118,155,138,117,108,124,101,136,111,133
386,Hammersmith and Fulham,Theft and Handling,60,63,63,50,61,34,53,33,60,66,44,51
387,Hammersmith and Fulham,Theft and Handling,55,35,50,70,99,109,136,109,132,110,77,56
388,Hammersmith and Fulham,Violence Against the Person,95,109,91,100,120,119,125,98,96,103,86,116
389,Hammersmith and Fulham,Violence Against the Person,142,130,190,156,151,163,177,172,160,161,171,148
390,Hammersmith and Fulham,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
391,Hammersmith and Fulham,Violence Against the Person,178,178,209,187,211,210,214,200,212,210,187,211
392,Hammersmith and Fulham,Violence Against the Person,2,0,1,0,0,0,0,0,0,0,0,0
393,Hammersmith and Fulham,Violence Against the Person,12,13,12,17,25,14,13,10,15,15,12,3
394,Hammersmith and Fulham,Violence Against the Person,14,13,31,15,22,22,30,66,57,88,66,68
395,Hammersmith and Fulham,Violence Against the Person,34,29,50,51,58,51,57,72,59,55,43,53
396,Haringey,Burglary,199,164,192,212,220,236,187,221,175,233,341,233
397,Haringey,Burglary,85,66,72,82,89,106,117,92,94,98,83,89
398,Haringey,Criminal Damage,42,51,38,34,49,43,45,36,35,38,41,43
399,Haringey,Criminal Damage,64,52,46,62,56,75,49,51,55,65,46,52
400,Haringey,Criminal Damage,18,23,13,19,13,9,17,11,19,9,15,15
401,Haringey,Criminal Damage,61,42,57,69,64,59,64,56,57,86,63,58
402,Haringey,Drugs,4,11,7,29,18,5,6,6,10,9,3,3
403,Haringey,Drugs,1,2,0,1,0,0,1,4,1,1,0,3
404,Haringey,Drugs,92,125,98,156,134,81,74,77,108,73,88,87
405,Haringey,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
406,Haringey,Fraud or Forgery,5,2,4,3,8,5,3,9,5,1,4,3
407,Haringey,Other Notifiable Offences,0,1,0,2,0,1,1,2,1,6,2,0
408,Haringey,Other Notifiable Offences,32,39,45,56,51,49,54,41,54,52,37,36
409,Haringey,Robbery,12,12,15,15,13,10,7,9,8,14,9,7
410,Haringey,Robbery,151,146,106,132,155,169,156,151,135,112,171,148
411,Haringey,Sexual Offences,21,37,28,38,34,40,57,31,32,23,44,33
412,Haringey,Sexual Offences,21,25,20,28,45,28,42,23,40,29,22,20
413,Haringey,Theft and Handling,4,3,0,3,1,2,4,5,7,2,1,3
414,Haringey,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
415,Haringey,Theft and Handling,304,246,269,278,250,288,322,255,272,275,273,310
416,Haringey,Theft and Handling,173,144,117,143,142,175,181,97,119,119,185,145
417,Haringey,Theft and Handling,234,212,214,283,225,255,265,265,239,250,291,311
418,Haringey,Theft and Handling,114,127,106,92,114,95,100,93,89,108,93,97
419,Haringey,Theft and Handling,90,82,88,118,100,122,117,108,111,98,95,92
420,Haringey,Theft and Handling,21,17,32,42,39,73,53,47,39,35,27,21
421,Haringey,Violence Against the Person,162,145,156,140,192,168,192,162,155,150,172,142
422,Haringey,Violence Against the Person,207,200,210,208,242,240,256,183,202,223,198,225
423,Haringey,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
424,Haringey,Violence Against the Person,242,182,230,303,294,286,314,293,278,262,259,235
425,Haringey,Violence Against the Person,0,2,2,1,0,1,0,0,1,0,0,1
426,Haringey,Violence Against the Person,27,21,38,31,23,36,29,24,26,12,16,19
427,Haringey,Violence Against the Person,54,42,53,39,31,45,44,39,55,58,47,32
428,Haringey,Violence Against the Person,90,55,93,85,82,103,107,83,75,89,60,97
429,Harrow,Burglary,189,142,112,93,92,79,104,93,136,172,194,191
430,Harrow,Burglary,65,30,44,35,63,89,79,52,43,45,57,44
431,Harrow,Criminal Damage,22,22,12,20,21,17,24,20,21,19,16,20
432,Harrow,Criminal Damage,32,30,31,25,42,32,43,47,28,33,38,23
433,Harrow,Criminal Damage,10,8,5,7,6,6,12,6,8,3,4,7
434,Harrow,Criminal Damage,31,21,26,24,37,33,37,35,27,37,32,38
435,Harrow,Drugs,4,2,4,4,6,0,1,2,1,6,3,1
436,Harrow,Drugs,1,0,2,0,0,0,1,0,0,0,0,0
437,Harrow,Drugs,43,38,53,42,56,45,39,50,48,43,38,44
438,Harrow,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
439,Harrow,Fraud or Forgery,1,1,3,3,0,4,4,4,0,1,3,3
440,Harrow,Other Notifiable Offences,0,1,1,0,1,1,0,0,0,0,0,0
441,Harrow,Other Notifiable Offences,26,26,22,29,18,14,38,27,27,26,27,30
442,Harrow,Robbery,4,3,1,2,3,3,1,1,2,7,3,5
443,Harrow,Robbery,21,15,17,19,24,26,38,26,30,35,49,37
444,Harrow,Sexual Offences,16,12,15,20,17,17,24,16,14,20,13,22
445,Harrow,Sexual Offences,26,10,11,8,8,11,20,10,11,17,8,14
446,Harrow,Theft and Handling,0,1,0,0,3,2,2,0,0,0,1,1
447,Harrow,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
448,Harrow,Theft and Handling,105,115,127,120,132,142,133,130,142,159,158,133
449,Harrow,Theft and Handling,40,31,40,37,32,39,37,20,40,44,41,43
450,Harrow,Theft and Handling,97,84,68,65,86,102,104,104,111,109,146,119
451,Harrow,Theft and Handling,59,64,64,63,83,73,66,57,78,78,84,62
452,Harrow,Theft and Handling,19,51,57,45,40,48,35,29,37,67,50,43
453,Harrow,Theft and Handling,9,9,13,4,18,20,18,10,21,17,20,7
454,Harrow,Violence Against the Person,70,76,85,75,94,81,88,67,71,79,83,78
455,Harrow,Violence Against the Person,139,102,144,101,135,130,130,126,102,127,135,148
456,Harrow,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
457,Harrow,Violence Against the Person,123,120,107,138,184,158,212,142,160,165,139,145
458,Harrow,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
459,Harrow,Violence Against the Person,11,15,5,12,4,1,6,9,11,6,8,7
460,Harrow,Violence Against the Person,28,17,13,14,35,22,26,29,21,25,19,21
461,Harrow,Violence Against the Person,49,42,36,38,43,46,60,28,43,49,33,34
462,Havering,Burglary,190,127,92,94,113,89,85,100,109,117,185,173
463,Havering,Burglary,55,48,106,78,64,53,79,107,78,65,63,65
464,Havering,Criminal Damage,31,29,33,26,24,32,25,28,19,25,17,19
465,Havering,Criminal Damage,62,48,58,70,68,62,53,39,47,48,48,44
466,Havering,Criminal Damage,6,8,13,7,11,13,12,9,3,15,8,8
467,Havering,Criminal Damage,34,25,40,29,35,31,39,33,46,43,36,39
468,Havering,Drugs,5,2,4,2,5,2,5,2,4,2,4,0
469,Havering,Drugs,0,0,0,0,0,0,0,0,0,0,0,0
470,Havering,Drugs,47,41,36,39,43,43,37,27,41,47,43,50
471,Havering,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
472,Havering,Fraud or Forgery,1,5,4,1,2,0,3,0,2,0,2,1
473,Havering,Other Notifiable Offences,0,1,1,0,1,0,0,2,0,1,0,0
474,Havering,Other Notifiable Offences,29,26,30,35,50,28,41,24,33,37,34,35
475,Havering,Robbery,11,5,6,5,2,3,0,7,6,7,5,9
476,Havering,Robbery,46,44,63,54,50,36,34,43,57,68,58,57
477,Havering,Sexual Offences,24,21,26,22,25,29,29,19,29,23,24,19
478,Havering,Sexual Offences,15,8,16,24,10,11,18,12,22,8,18,10
479,Havering,Theft and Handling,5,2,2,2,2,4,2,1,0,3,2,0
480,Havering,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
481,Havering,Theft and Handling,184,174,188,170,187,168,187,171,156,145,178,177
482,Havering,Theft and Handling,27,26,27,27,47,39,29,19,35,25,26,33
483,Havering,Theft and Handling,75,83,94,109,110,91,78,105,95,107,125,88
484,Havering,Theft and Handling,81,97,99,84,120,76,83,123,72,100,116,111
485,Havering,Theft and Handling,82,86,116,138,124,91,110,105,135,149,138,109
486,Havering,Theft and Handling,6,10,7,13,24,14,14,15,15,15,8,11
487,Havering,Violence Against the Person,99,91,115,91,118,141,143,102,123,108,107,117
488,Havering,Violence Against the Person,149,139,147,125,147,131,147,142,117,145,145,139
489,Havering,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
490,Havering,Violence Against the Person,171,155,189,202,212,184,241,199,193,205,193,183
491,Havering,Violence Against the Person,0,0,0,0,1,1,0,0,0,0,0,0
492,Havering,Violence Against the Person,18,9,15,14,19,9,17,8,9,13,16,14
493,Havering,Violence Against the Person,24,25,12,22,37,30,29,30,25,35,26,36
494,Havering,Violence Against the Person,50,56,44,51,65,60,43,47,46,47,40,39
495,Hillingdon,Burglary,144,133,136,132,122,114,119,110,104,159,179,173
496,Hillingdon,Burglary,103,125,97,98,84,63,110,77,94,105,89,73
497,Hillingdon,Criminal Damage,31,23,35,35,44,35,40,40,32,36,36,38
498,Hillingdon,Criminal Damage,86,87,94,84,81,74,83,73,67,79,64,87
499,Hillingdon,Criminal Damage,11,12,15,13,22,12,12,10,8,7,13,11
500,Hillingdon,Criminal Damage,45,42,50,58,58,39,66,46,55,71,67,72
501,Hillingdon,Drugs,3,6,6,7,1,2,1,4,8,5,4,6
502,Hillingdon,Drugs,2,0,0,0,1,1,0,0,1,0,0,0
503,Hillingdon,Drugs,64,56,72,77,92,85,65,67,77,68,105,67
504,Hillingdon,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
505,Hillingdon,Fraud or Forgery,7,8,6,9,4,3,4,6,1,3,4,3
506,Hillingdon,Other Notifiable Offences,2,0,2,0,1,2,2,0,0,3,0,0
507,Hillingdon,Other Notifiable Offences,128,98,153,110,144,141,168,137,157,131,131,131
508,Hillingdon,Robbery,1,10,3,6,6,4,3,5,6,5,4,8
509,Hillingdon,Robbery,42,56,37,42,38,30,42,33,42,54,43,62
510,Hillingdon,Sexual Offences,30,18,46,23,17,44,37,34,32,34,24,36
511,Hillingdon,Sexual Offences,18,27,24,16,14,16,20,7,12,14,20,9
512,Hillingdon,Theft and Handling,3,0,3,2,1,0,1,2,2,1,2,1
513,Hillingdon,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
514,Hillingdon,Theft and Handling,312,281,320,301,373,315,315,364,332,389,409,351
515,Hillingdon,Theft and Handling,39,41,40,35,40,32,38,37,35,41,53,63
516,Hillingdon,Theft and Handling,237,258,258,209,211,234,239,225,233,270,327,203
517,Hillingdon,Theft and Handling,173,171,195,158,190,177,154,142,118,148,168,149
518,Hillingdon,Theft and Handling,148,123,119,101,87,93,80,69,69,113,92,99
519,Hillingdon,Theft and Handling,25,28,14,23,23,35,38,24,36,31,22,14
520,Hillingdon,Violence Against the Person,152,111,166,145,133,165,163,130,132,134,170,158
521,Hillingdon,Violence Against the Person,196,177,196,173,202,190,195,188,173,207,218,243
522,Hillingdon,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
523,Hillingdon,Violence Against the Person,232,206,265,242,256,276,296,271,286,281,281,254
524,Hillingdon,Violence Against the Person,0,0,0,0,2,0,0,0,1,1,0,0
525,Hillingdon,Violence Against the Person,17,22,25,17,10,18,25,15,18,16,10,17
526,Hillingdon,Violence Against the Person,31,23,36,27,22,37,49,24,34,33,29,43
527,Hillingdon,Violence Against the Person,67,48,61,50,78,66,94,59,68,66,67,85
528,Hounslow,Burglary,175,180,149,118,127,114,142,110,85,171,176,144
529,Hounslow,Burglary,94,78,101,110,99,85,91,63,79,118,64,81
530,Hounslow,Criminal Damage,19,19,27,25,34,28,33,36,35,46,29,26
531,Hounslow,Criminal Damage,95,54,53,77,80,45,80,83,84,74,77,58
532,Hounslow,Criminal Damage,21,14,18,15,15,9,13,13,12,10,12,13
533,Hounslow,Criminal Damage,42,32,40,52,52,52,65,48,58,60,48,72
534,Hounslow,Drugs,7,29,7,6,4,4,5,7,5,7,6,10
535,Hounslow,Drugs,0,0,1,0,1,0,3,1,0,1,1,0
536,Hounslow,Drugs,100,67,92,82,90,79,107,91,80,103,112,127
537,Hounslow,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
538,Hounslow,Fraud or Forgery,2,1,0,0,1,3,7,2,3,0,7,2
539,Hounslow,Other Notifiable Offences,2,1,1,2,0,1,0,0,1,0,2,3
540,Hounslow,Other Notifiable Offences,42,35,39,43,50,51,67,40,35,56,37,33
541,Hounslow,Robbery,2,4,3,3,3,3,7,1,5,8,4,6
542,Hounslow,Robbery,43,44,32,44,56,56,61,44,50,60,58,71
543,Hounslow,Sexual Offences,27,15,36,26,27,35,37,32,25,38,27,25
544,Hounslow,Sexual Offences,21,15,14,13,20,22,35,23,18,36,23,15
545,Hounslow,Theft and Handling,5,3,3,2,3,3,1,1,1,0,3,2
546,Hounslow,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
547,Hounslow,Theft and Handling,228,215,221,231,260,233,228,223,213,229,274,229
548,Hounslow,Theft and Handling,42,40,44,34,47,38,55,31,29,50,74,60
549,Hounslow,Theft and Handling,217,214,226,209,199,180,183,176,235,230,263,244
550,Hounslow,Theft and Handling,108,126,105,104,101,85,90,90,109,110,114,74
551,Hounslow,Theft and Handling,81,84,114,88,53,62,48,64,61,92,97,96
552,Hounslow,Theft and Handling,52,57,38,57,69,57,95,60,79,81,55,37
553,Hounslow,Violence Against the Person,150,121,151,138,167,179,171,141,138,148,129,135
554,Hounslow,Violence Against the Person,222,180,243,173,237,194,231,200,224,236,219,207
555,Hounslow,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
556,Hounslow,Violence Against the Person,239,175,229,260,310,286,298,241,247,274,244,255
557,Hounslow,Violence Against the Person,0,0,1,0,0,0,0,0,0,0,0,0
558,Hounslow,Violence Against the Person,15,12,10,16,19,16,23,17,17,14,15,29
559,Hounslow,Violence Against the Person,30,27,30,34,29,41,32,35,29,32,28,31
560,Hounslow,Violence Against the Person,76,59,57,75,82,69,68,51,58,79,47,65
561,Islington,Burglary,172,128,108,164,130,188,187,180,139,175,162,191
562,Islington,Burglary,123,92,81,101,96,102,114,83,77,105,85,77
563,Islington,Criminal Damage,37,45,33,34,38,43,39,41,50,38,27,25
564,Islington,Criminal Damage,45,43,43,40,42,44,37,38,42,52,39,68
565,Islington,Criminal Damage,12,16,15,14,21,15,15,14,10,17,24,11
566,Islington,Criminal Damage,29,30,34,42,53,44,41,44,60,54,60,35
567,Islington,Drugs,2,11,3,8,6,5,4,2,6,8,4,5
568,Islington,Drugs,1,1,0,1,2,2,0,0,0,0,0,1
569,Islington,Drugs,104,94,84,108,110,95,89,92,122,82,104,94
570,Islington,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
571,Islington,Fraud or Forgery,4,5,4,5,7,3,4,2,3,4,3,3
572,Islington,Other Notifiable Offences,0,0,0,1,1,1,1,2,0,2,1,1
573,Islington,Other Notifiable Offences,43,28,43,45,31,39,49,48,42,47,46,34
574,Islington,Robbery,7,11,8,9,13,7,11,7,7,12,11,11
575,Islington,Robbery,174,105,120,121,102,140,126,93,116,105,106,101
576,Islington,Sexual Offences,32,29,30,26,38,36,31,31,22,57,34,39
577,Islington,Sexual Offences,19,23,20,25,12,19,16,24,18,25,16,15
578,Islington,Theft and Handling,10,6,5,3,2,7,6,1,2,3,5,5
579,Islington,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
580,Islington,Theft and Handling,294,256,273,305,341,272,360,325,342,355,394,411
581,Islington,Theft and Handling,422,213,254,240,201,294,225,191,170,221,186,232
582,Islington,Theft and Handling,151,125,119,127,136,150,178,151,165,171,177,150
583,Islington,Theft and Handling,120,93,108,96,107,116,119,97,122,148,110,93
584,Islington,Theft and Handling,88,41,43,58,62,61,76,74,61,60,61,50
585,Islington,Theft and Handling,73,84,74,92,115,93,142,110,101,129,72,65
586,Islington,Violence Against the Person,119,99,135,127,141,163,170,129,125,140,121,127
587,Islington,Violence Against the Person,165,152,172,176,173,210,200,161,191,217,157,163
588,Islington,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
589,Islington,Violence Against the Person,226,222,201,228,297,269,301,226,262,261,243,238
590,Islington,Violence Against the Person,1,0,0,1,1,0,1,0,1,0,0,0
591,Islington,Violence Against the Person,24,11,17,17,17,23,27,16,19,11,15,15
592,Islington,Violence Against the Person,31,24,38,33,19,33,25,25,28,35,26,34
593,Islington,Violence Against the Person,63,57,65,99,62,76,96,74,59,80,66,89
594,Kensington and Chelsea,Burglary,171,111,119,144,132,95,109,93,97,94,110,99
595,Kensington and Chelsea,Burglary,123,119,100,92,87,65,79,51,72,99,91,65
596,Kensington and Chelsea,Criminal Damage,29,20,13,15,24,34,22,19,13,13,32,19
597,Kensington and Chelsea,Criminal Damage,34,37,38,30,30,33,35,39,33,34,27,36
598,Kensington and Chelsea,Criminal Damage,9,18,5,10,9,12,12,15,5,4,6,4
599,Kensington and Chelsea,Criminal Damage,17,26,25,20,34,28,25,28,26,37,33,29
600,Kensington and Chelsea,Drugs,5,1,6,2,2,1,3,7,1,2,21,2
601,Kensington and Chelsea,Drugs,0,1,0,4,2,0,0,4,0,1,0,0
602,Kensington and Chelsea,Drugs,104,101,81,91,104,74,88,367,134,74,89,100
603,Kensington and Chelsea,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
604,Kensington and Chelsea,Fraud or Forgery,7,7,5,4,2,9,4,2,4,4,3,3
605,Kensington and Chelsea,Other Notifiable Offences,2,3,4,2,2,2,0,1,1,3,0,2
606,Kensington and Chelsea,Other Notifiable Offences,22,17,28,23,24,25,52,32,21,33,25,16
607,Kensington and Chelsea,Robbery,5,8,5,7,8,4,5,1,4,6,2,5
608,Kensington and Chelsea,Robbery,45,51,34,37,65,58,77,71,64,60,58,51
609,Kensington and Chelsea,Sexual Offences,17,12,29,11,20,20,29,34,27,13,8,22
610,Kensington and Chelsea,Sexual Offences,15,16,10,8,7,18,16,16,8,21,11,16
611,Kensington and Chelsea,Theft and Handling,11,2,0,0,2,1,5,3,0,0,2,1
612,Kensington and Chelsea,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
613,Kensington and Chelsea,Theft and Handling,257,238,254,291,284,297,317,389,338,329,359,362
614,Kensington and Chelsea,Theft and Handling,64,105,92,107,98,99,126,237,114,152,167,175
615,Kensington and Chelsea,Theft and Handling,164,236,155,138,150,193,149,107,153,159,165,221
616,Kensington and Chelsea,Theft and Handling,161,143,152,137,130,142,135,121,128,154,153,157
617,Kensington and Chelsea,Theft and Handling,44,43,48,30,46,53,40,48,54,54,62,46
618,Kensington and Chelsea,Theft and Handling,41,41,41,39,41,48,81,55,40,46,39,32
619,Kensington and Chelsea,Violence Against the Person,68,56,77,47,75,94,82,114,72,65,91,84
620,Kensington and Chelsea,Violence Against the Person,114,131,129,126,147,141,153,137,142,107,113,130
621,Kensington and Chelsea,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
622,Kensington and Chelsea,Violence Against the Person,155,144,167,170,179,222,197,179,165,171,161,154
623,Kensington and Chelsea,Violence Against the Person,0,1,0,0,1,0,0,0,0,0,0,0
624,Kensington and Chelsea,Violence Against the Person,14,12,10,11,13,8,15,47,13,4,8,10
625,Kensington and Chelsea,Violence Against the Person,16,10,14,7,16,14,12,47,18,20,11,26
626,Kensington and Chelsea,Violence Against the Person,23,27,39,39,32,41,45,63,34,33,42,39
627,Kingston upon Thames,Burglary,59,63,54,44,50,38,52,80,59,94,105,74
628,Kingston upon Thames,Burglary,52,32,36,50,27,34,25,37,39,55,40,26
629,Kingston upon Thames,Criminal Damage,16,9,13,20,12,25,16,11,17,19,12,13
630,Kingston upon Thames,Criminal Damage,40,25,19,28,38,35,40,40,28,36,37,26
631,Kingston upon Thames,Criminal Damage,8,10,9,9,12,5,7,5,6,3,2,6
632,Kingston upon Thames,Criminal Damage,26,27,26,18,26,26,30,21,21,30,23,28
633,Kingston upon Thames,Drugs,7,3,2,2,1,0,1,0,1,0,1,0
634,Kingston upon Thames,Drugs,0,0,0,0,0,0,0,0,0,0,0,0
635,Kingston upon Thames,Drugs,43,33,37,36,27,28,38,32,41,40,19,30
636,Kingston upon Thames,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
637,Kingston upon Thames,Fraud or Forgery,1,2,1,1,0,2,2,4,2,2,1,1
638,Kingston upon Thames,Other Notifiable Offences,0,1,0,0,0,1,0,0,1,0,0,2
639,Kingston upon Thames,Other Notifiable Offences,21,9,11,18,18,22,25,28,23,31,22,23
640,Kingston upon Thames,Robbery,2,2,2,2,0,0,5,4,1,3,6,0
641,Kingston upon Thames,Robbery,11,19,17,31,14,16,19,19,26,21,16,25
642,Kingston upon Thames,Sexual Offences,17,12,11,20,16,20,23,18,23,25,33,24
643,Kingston upon Thames,Sexual Offences,10,6,5,10,8,11,17,12,18,15,15,10
644,Kingston upon Thames,Theft and Handling,0,0,4,1,0,1,0,0,1,0,2,0
645,Kingston upon Thames,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
646,Kingston upon Thames,Theft and Handling,144,93,141,118,150,117,133,147,104,122,99,111
647,Kingston upon Thames,Theft and Handling,42,31,30,35,23,40,36,38,38,61,47,57
648,Kingston upon Thames,Theft and Handling,71,66,63,60,57,39,59,67,59,94,86,66
649,Kingston upon Thames,Theft and Handling,103,113,96,97,89,75,72,72,75,74,96,72
650,Kingston upon Thames,Theft and Handling,26,36,24,34,31,32,27,35,30,32,35,24
651,Kingston upon Thames,Theft and Handling,22,28,27,45,70,63,103,98,67,54,41,32
652,Kingston upon Thames,Violence Against the Person,77,60,63,54,84,76,93,72,65,94,64,101
653,Kingston upon Thames,Violence Against the Person,71,72,96,77,79,81,82,89,100,81,97,97
654,Kingston upon Thames,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
655,Kingston upon Thames,Violence Against the Person,89,117,136,100,109,127,154,147,129,142,160,110
656,Kingston upon Thames,Violence Against the Person,0,0,1,0,0,0,0,2,0,0,0,0
657,Kingston upon Thames,Violence Against the Person,8,4,8,3,10,5,1,6,7,12,7,5
658,Kingston upon Thames,Violence Against the Person,11,11,15,15,17,8,11,15,15,19,19,16
659,Kingston upon Thames,Violence Against the Person,24,23,32,40,22,26,22,26,28,27,30,29
660,Lambeth,Burglary,217,205,185,180,211,212,224,218,196,175,207,147
661,Lambeth,Burglary,122,133,118,140,138,158,125,140,124,111,117,132
662,Lambeth,Criminal Damage,49,36,47,45,53,53,58,52,32,33,35,44
663,Lambeth,Criminal Damage,75,73,79,78,103,79,87,84,69,59,51,52
664,Lambeth,Criminal Damage,28,22,21,20,18,16,32,16,16,21,17,20
665,Lambeth,Criminal Damage,67,47,55,58,68,71,70,51,59,66,65,61
666,Lambeth,Drugs,10,11,16,15,17,15,29,9,8,8,14,11
667,Lambeth,Drugs,4,0,2,0,3,4,1,5,1,0,2,1
668,Lambeth,Drugs,150,149,145,163,156,184,146,155,153,174,214,172
669,Lambeth,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
670,Lambeth,Fraud or Forgery,4,1,3,4,5,3,1,5,6,1,7,3
671,Lambeth,Other Notifiable Offences,4,1,2,2,3,0,1,2,4,2,0,3
672,Lambeth,Other Notifiable Offences,46,61,50,54,51,44,80,58,48,49,53,52
673,Lambeth,Robbery,4,13,5,10,9,6,7,8,8,5,4,9
674,Lambeth,Robbery,139,104,120,108,93,104,121,103,78,111,98,87
675,Lambeth,Sexual Offences,56,37,41,30,41,51,65,49,57,70,58,40
676,Lambeth,Sexual Offences,47,39,27,27,38,43,49,24,53,30,27,28
677,Lambeth,Theft and Handling,4,4,4,5,4,3,10,2,4,3,4,7
678,Lambeth,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
679,Lambeth,Theft and Handling,428,373,408,469,404,439,441,417,405,415,470,418
680,Lambeth,Theft and Handling,170,137,156,192,119,159,167,188,129,168,173,210
681,Lambeth,Theft and Handling,207,193,182,193,260,220,184,185,167,202,220,197
682,Lambeth,Theft and Handling,84,93,106,90,98,116,110,105,106,103,103,80
683,Lambeth,Theft and Handling,79,80,60,66,74,77,92,69,67,82,73,63
684,Lambeth,Theft and Handling,57,58,40,61,85,102,127,120,108,119,87,64
685,Lambeth,Violence Against the Person,172,146,200,169,205,213,251,166,179,159,188,174
686,Lambeth,Violence Against the Person,232,222,214,225,249,238,306,211,217,267,248,230
687,Lambeth,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
688,Lambeth,Violence Against the Person,259,250,292,282,324,280,337,297,305,294,324,230
689,Lambeth,Violence Against the Person,0,1,0,1,2,0,1,0,0,0,1,0
690,Lambeth,Violence Against the Person,45,33,35,38,47,40,39,35,35,25,29,33
691,Lambeth,Violence Against the Person,46,29,50,35,62,43,79,52,46,45,51,49
