,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
77,Bexley,Other Notifiable Offences,1,5,2,0,0,0,1,1,0,0,1,0
78,Bexley,Other Notifiable Offences,22,23,30,25,40,37,36,39,30,30,33,34
79,Bexley,Robbery,4,8,4,3,5,4,7,3,4,5,3,5
80,Bexley,Robbery,23,32,17,12,28,27,18,17,26,27,22,19
81,Bexley,Sexual Offences,24,19,27,23,25,22,10,19,20,11,20,12
82,Bexley,Sexual Offences,8,13,5,14,11,18,21,17,16,13,14,6
83,Bexley,Theft and Handling,1,0,3,1,2,0,3,3,3,1,0,1
84,Bexley,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
85,Bexley,Theft and Handling,111,97,121,110,121,139,102,144,151,126,114,156
86,Bexley,Theft and Handling,14,15,10,10,10,17,9,17,14,25,23,21
87,Bexley,Theft and Handling,84,82,82,109,110,89,113,118,129,118,126,139
88,Bexley,Theft and Handling,88,71,96,92,102,76,76,82,58,87,91,90
89,Bexley,Theft and Handling,72,47,68,62,52,72,84,56,64,75,55,69
90,Bexley,Theft and Handling,3,7,4,7,18,10,16,11,15,14,7,4
91,Bexley,Violence Against the Person,88,57,100,96,101,119,98,84,74,100,101,108
92,Bexley,Violence Against the Person,104,82,115,110,132,121,119,99,114,119,108,107
93,Bexley,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
94,Bexley,Violence Against the Person,130,127,139,165,185,180,158,170,158,165,155,171
95,Bexley,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
96,Bexley,Violence Against the Person,7,6,10,11,8,7,3,7,8,7,7,8
97,Bexley,Violence Against the Person,15,16,21,11,24,33,30,23,21,30,27,16
98,Bexley,Violence Against the Person,36,33,41,32,36,51,43,43,35,35,39,37
99,Brent,Burglary,258,257,273,201,174,186,199,185,172,206,214,172
100,Brent,Burglary,103,100,116,91,109,85,113,101,93,88,116,108
101,Brent,Criminal Damage,51,46,37,40,48,53,42,31,46,29,35,32
102,Brent,Criminal Damage,76,54,53,70,77,72,75,63,54,53,48,56
103,Brent,Criminal Damage,23,21,20,17,17,21,22,25,14,10,14,14
104,Brent,Criminal Damage,52,62,57,42,66,62,47,60,72,68,69,74
105,Brent,Drugs,8,24,21,8,5,5,13,10,4,16,16,7
106,Brent,Drugs,1,2,5,1,1,2,1,6,3,3,1,1
107,Brent,Drugs,117,95,119,107,141,161,151,145,138,161,158,119
108,Brent,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
109,Brent,Fraud or Forgery,4,5,6,7,2,3,2,4,1,3,6,4
110,Brent,Other Notifiable Offences,1,0,5,2,4,0,2,0,0,0,1,1
111,Brent,Other Notifiable Offences,48,41,42,53,60,58,74,52,45,58,56,35
112,Brent,Robbery,5,4,13,3,11,9,14,13,8,16,14,4
113,Brent,Robbery,146,116,122,99,105,118,108,99,116,106,111,101
114,Brent,Sexual Offences,40,43,31,38,45,44,38,30,34,52,32,22
115,Brent,Sexual Offences,21,16,25,17,24,30,29,30,16,10,14,12
116,Brent,Theft and Handling,2,4,2,2,0,4,3,0,0,3,3,0
117,Brent,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
118,Brent,Theft and Handling,279,228,272,283,269,307,325,269,292,327,281,268
119,Brent,Theft and Handling,81,81,71,102,73,96,80,76,67,72,94,56
120,Brent,Theft and Handling,174,162,156,142,147,149,164,189,183,181,248,238
121,Brent,Theft and Handling,113,99,109,105,130,118,126,119,125,124,98,95
122,Brent,Theft and Handling,106,116,101,131,108,103,114,101,107,187,195,110
123,Brent,Theft and Handling,19,14,17,16,31,27,34,39,55,33,32,23
124,Brent,Violence Against the Person,151,162,166,157,194,183,180,159,189,159,170,165
125,Brent,Violence Against the Person,253,228,279,260,309,297,304,272,264,290,258,261
126,Brent,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
127,Brent,Violence Against the Person,219,238,245,264,322,313,324,269,282,293,279,237
128,Brent,Violence Against the Person,0,0,0,0,2,1,0,0,0,0,0,0
129,Brent,Violence Against the Person,21,18,22,17,27,23,23,18,14,25,25,22
130,Brent,Violence Against the Person,51,41,48,39,38,53,38,47,51,36,54,50
131,Brent,Violence Against the Person,99,81,85,83,108,107,92,91,100,99,78,84
132,Bromley,Burglary,210,204,231,193,167,113,106,169,141,178,241,236
133,Bromley,Burglary,116,88,79,80,55,74,57,97,61,103,84,79
134,Bromley,Criminal Damage,36,36,44,30,44,42,45,38,29,36,48,25
135,Bromley,Criminal Damage,80,47,71,68,64,67,69,59,55,72,61,72
136,Bromley,Criminal Damage,37,15,13,13,19,17,17,16,8,4,11,16
137,Bromley,Criminal Damage,68,56,49,69,61,76,65,57,62,74,76,74
138,Bromley,Drugs,3,5,4,1,4,3,0,2,2,3,6,5
139,Bromley,Drugs,0,0,0,0,0,0,0,0,1,0,1,1
140,Bromley,Drugs,63,62,41,52,43,43,42,49,62,55,53,97
141,Bromley,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
142,Bromley,Fraud or Forgery,1,0,4,4,4,2,2,1,0,2,2,0
143,Bromley,Other Notifiable Offences,1,3,0,0,0,2,1,0,1,0,1,1
144,Bromley,Other Notifiable Offences,45,23,39,28,32,34,45,35,41,36,24,13
145,Bromley,Robbery,9,2,8,1,10,5,3,8,6,3,4,10
146,Bromley,Robbery,40,24,42,29,39,46,25,21,26,35,31,26
147,Bromley,Sexual Offences,41,26,38,27,41,29,40,21,33,21,34,27
148,Bromley,Sexual Offences,14,14,13,17,15,25,23,18,13,13,24,15
149,Bromley,Theft and Handling,2,1,0,1,0,3,0,1,3,3,2,2
150,Bromley,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
151,Bromley,Theft and Handling,213,197,201,218,235,236,231,222,224,240,203,213
152,Bromley,Theft and Handling,23,19,22,30,17,23,29,21,18,23,36,47
153,Bromley,Theft and Handling,169,151,160,144,146,197,148,170,171,180,229,164
154,Bromley,Theft and Handling,158,151,142,192,180,229,180,186,180,168,142,166
155,Bromley,Theft and Handling,75,73,66,80,93,69,59,71,82,80,69,83
156,Bromley,Theft and Handling,16,5,17,9,12,21,19,23,33,23,20,17
157,Bromley,Violence Against the Person,129,90,142,114,141,125,144,109,145,152,111,122
158,Bromley,Violence Against the Person,163,141,183,160,170,158,185,137,165,146,149,158
159,Bromley,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
160,Bromley,Violence Against the Person,204,205,245,249,293,253,293,246,278,240,216,215
161,Bromley,Violence Against the Person,1,0,0,0,1,0,0,1,0,0,1,0
162,Bromley,Violence Against the Person,17,11,15,10,18,21,11,16,20,8,17,20
163,Bromley,Violence Against the Person,22,19,27,27,30,34,28,13,22,28,37,30
164,Bromley,Violence Against the Person,53,41,59,43,44,67,61,43,55,42,52,52
165,Camden,Burglary,158,144,131,125,156,160,156,169,166,166,201,173
166,Camden,Burglary,153,165,153,155,180,170,176,202,164,170,139,131
167,Camden,Criminal Damage,29,34,37,32,35,35,26,31,26,18,41,27
168,Camden,Criminal Damage,47,40,37,50,53,49,49,42,35,47,42,39
169,Camden,Criminal Damage,28,23,26,25,23,15,21,26,24,13,14,22
170,Camden,Criminal Damage,41,31,44,49,41,35,49,47,50,63,53,52
171,Camden,Drugs,5,9,7,7,6,7,3,6,17,14,5,5
172,Camden,Drugs,0,1,0,2,2,0,2,2,1,2,1,1
173,Camden,Drugs,109,91,100,98,78,96,81,77,84,104,124,111
174,Camden,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
175,Camden,Fraud or Forgery,2,4,2,3,4,3,3,6,2,5,1,3
176,Camden,Other Notifiable Offences,0,3,0,0,1,1,2,2,0,2,2,0
177,Camden,Other Notifiable Offences,33,48,41,34,35,40,54,38,40,36,21,31
178,Camden,Robbery,12,7,13,8,10,8,4,7,7,12,14,9
179,Camden,Robbery,161,132,136,119,108,156,153,121,115,123,163,132
180,Camden,Sexual Offences,30,34,46,48,31,31,38,37,38,23,36,27
181,Camden,Sexual Offences,30,33,26,23,27,15,29,22,16,35,24,24
182,Camden,Theft and Handling,3,8,3,3,2,2,2,9,6,2,0,2
183,Camden,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
184,Camden,Theft and Handling,540,482,525,449,531,488,555,503,573,679,712,742
185,Camden,Theft and Handling,553,374,515,398,346,444,333,342,291,305,340,310
186,Camden,Theft and Handling,194,170,139,177,179,172,175,147,158,172,201,194
187,Camden,Theft and Handling,139,145,139,176,151,141,139,122,124,135,128,122
188,Camden,Theft and Handling,51,54,48,50,50,67,67,54,57,59,58,43
189,Camden,Theft and Handling,76,66,72,99,121,112,132,116,177,188,107,79
190,Camden,Violence Against the Person,149,114,113,137,164,163,167,142,147,148,137,133
191,Camden,Violence Against the Person,185,190,236,208,231,218,248,226,194,195,204,210
192,Camden,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
193,Camden,Violence Against the Person,249,236,224,238,291,281,305,248,254,223,255,231
194,Camden,Violence Against the Person,0,3,0,1,0,0,0,0,0,0,0,0
195,Camden,Violence Against the Person,14,20,16,18,17,14,18,15,14,13,13,16
196,Camden,Violence Against the Person,25,20,16,29,26,19,30,23,33,26,20,22
197,Camden,Violence Against the Person,84,85,75,60,71,74,83,71,70,67,68,62
198,Croydon,Burglary,211,219,190,163,157,144,185,200,164,201,218,194
199,Croydon,Burglary,116,71,74,78,86,76,77,120,96,103,112,114
200,Croydon,Criminal Damage,57,57,50,61,63,64,62,48,52,45,49,44
